"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9300,"Hou@Atl 01:00PM ET",33.800,"Atl"
"WR","Antonio Brown",9200,"Bal@Pit 08:25PM ET",35.400,"Pit"
"WR","Odell Beckham",9100,"NYG@Buf 01:00PM ET",20.300,"NYG"
"WR","Demaryius Thomas",8100,"Min@Den 04:25PM ET",17.800,"Den"
"QB","Aaron Rodgers",7900,"GB@SF 04:25PM ET",22.660,"GB"
"RB","Adrian Peterson",7800,"Min@Den 04:25PM ET",15.700,"Min"
"QB","Andrew Luck",7800,"JAC@Ind 01:00PM ET",16.060,"Ind"
"WR","Emmanuel Sanders",7700,"Min@Den 04:25PM ET",21.600,"Den"
"RB","Le'Veon Bell",7700,"Bal@Pit 08:25PM ET",0,"Pit"
"RB","Jamaal Charles",7600,"KC@Cin 01:00PM ET",22.500,"KC"
"WR","A.J. Green",7600,"KC@Cin 01:00PM ET",12.400,"Cin"
"WR","Calvin Johnson",7500,"Det@Sea 08:30PM ET",15.100,"Det"
"QB","Drew Brees",7400,"Dal@NO 08:30PM ET",16.800,"NO"
"WR","Randall Cobb",7400,"GB@SF 04:25PM ET",18.700,"GB"
"QB","Ben Roethlisberger",7300,"Bal@Pit 08:25PM ET",27.850,"Pit"
"WR","DeAndre Hopkins",7300,"Hou@Atl 01:00PM ET",21.550,"Hou"
"QB","Peyton Manning",7200,"Min@Den 04:25PM ET",13.570,"Den"
"RB","Marshawn Lynch",7200,"Det@Sea 08:30PM ET",13.300,"Sea"
"RB","Matt Forte",7100,"Oak@Chi 01:00PM ET",22.550,"Chi"
"QB","Russell Wilson",7100,"Det@Sea 08:30PM ET",19.590,"Sea"
"QB","Eli Manning",7000,"NYG@Buf 01:00PM ET",16.220,"NYG"
"RB","Arian Foster",7000,"Hou@Atl 01:00PM ET",0,"Hou"
"QB","Cam Newton",7000,"Car@TB 01:00PM ET",20.950,"Car"
"WR","Keenan Allen",7000,"Cle@SD 04:05PM ET",18.600,"SD"
"QB","Matt Ryan",6900,"Hou@Atl 01:00PM ET",20.020,"Atl"
"RB","Eddie Lacy",6900,"GB@SF 04:25PM ET",9.400,"GB"
"WR","Brandon Marshall",6800,"NYJ@Mia 09:30AM ET",22.150,"NYJ"
"QB","Carson Palmer",6800,"StL@Ari 04:25PM ET",25.440,"Ari"
"WR","T.Y. Hilton",6700,"JAC@Ind 01:00PM ET",12.150,"Ind"
"WR","Jordan Matthews",6600,"Phi@Was 01:00PM ET",21.600,"Phi"
"WR","Larry Fitzgerald",6500,"StL@Ari 04:25PM ET",27.450,"Ari"
"RB","DeMarco Murray",6500,"Phi@Was 01:00PM ET",14.250,"Phi"
"WR","Jarvis Landry",6500,"NYJ@Mia 09:30AM ET",21.650,"Mia"
