"QB","RB1","RB2","WR1","WR2","WR3","TE","FLEX","DST"
"Derek Carr","Jamaal Charles","Devonta Freeman","Julio Jones","Michael Crabtree","Allen Robinson","Jason Witten","Greg Olsen","Raiders "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Calvin Johnson","Michael Crabtree","Allen Robinson","Jason Witten","Tyler Eifert","Packers "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Calvin Johnson","Michael Crabtree","Allen Robinson","Jordan Reed","Tyler Eifert","Raiders "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","DeAndre Hopkins","Michael Crabtree","Allen Robinson","Jason Witten","Tyler Eifert","Eagles "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","DeAndre Hopkins","Michael Crabtree","Allen Robinson","Jordan Reed","Tyler Eifert","Bengals "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Keenan Allen","Michael Crabtree","Allen Robinson","Jason Witten","Tyler Eifert","Browns "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Keenan Allen","Michael Crabtree","Allen Robinson","Jordan Reed","Tyler Eifert","Eagles "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Keenan Allen","Michael Crabtree","Allen Robinson","Tyler Eifert","Jordan Reed","Packers "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Larry Fitzgerald","Michael Crabtree","Allen Robinson","Jason Witten","Greg Olsen","Raiders "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Larry Fitzgerald","Michael Crabtree","Allen Robinson","Jordan Reed","Greg Olsen","Raiders "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Larry Fitzgerald","Michael Crabtree","Allen Robinson","Tyler Eifert","Greg Olsen","Browns "
"Aaron Rodgers","Jamaal Charles","Devonta Freeman","Larry Fitzgerald","Michael Crabtree","Allen Robinson","Greg Olsen","Tyler Eifert","Raiders "
"Aaron Rodgers","Latavius Murray","Devonta Freeman","DeAndre Hopkins","Keenan Allen","Michael Crabtree","Jason Witten","Tyler Eifert","Packers "
"Aaron Rodgers","Devonta Freeman","Carlos Hyde","DeAndre Hopkins","Keenan Allen","Michael Crabtree","Jason Witten","Allen Robinson","Raiders "
"Aaron Rodgers","Devonta Freeman","Carlos Hyde","DeAndre Hopkins","Keenan Allen","Allen Robinson","Jason Witten","Michael Crabtree","Eagles "
