
Team Salary:  49800  Team PPG:  116.449 Team Targets:  93
Name            Team       PPG    $/Point    Touches/game(2015)    Tinside20    %%Team    Tinside10    %%Team
--------------  ------  ------  ---------  --------------------  -----------  --------  -----------  --------
Drew Brees      NO      21.749    358.637                     1            0         0            0         0
Chris Ivory     NYJ      9.963    471.745                    21            8        38            6        75
Carlos Hyde     SF       5.364    950.783                    28            6        33            1        25
Odell Beckham   NYG     26.417    333.119                     8            2        13            0         0
Brandin Cooks   NO      13.93     502.513                     9            1         7            0         0
Cole Beasley    DAL      6.561    502.972                     6            2         9            0         0
Kyle Rudolph    MIN      6.567    532.968                     7            0         0            0         0
Julian Edelman  NE      17.065    392.616                    13            1         6            1        14
Ravens          BAL      8.833    328.314                     0            0         0            0         0

Team Salary:  48900  Team PPG:  135.28 Team Targets:  97
Name               Team       PPG    $/Point    Touches/game(2015)    Tinside20    %%Team    Tinside10    %%Team
-----------------  ------  ------  ---------  --------------------  -----------  --------  -----------  --------
Drew Brees         NO      21.749    358.637                     1            0         0            0         0
Marshawn Lynch     SEA     19.839    362.922                    25            3        15            2        18
Darren Sproles     PHI     10.773    324.886                    14            0         0            0         0
A.J. Green         CIN     17.1      438.596                     8            2         8            0         0
Doug Baldwin       SEA     11.372    369.328                     9            0         0            0         0
Golden Tate        DET     17.353    363.05                      8            0         0            0         0
Martellus Bennett  CHI     14.225    316.344                     7            0         0            0         0
Alfred Morris      WAS     11.931    419.076                    25            2        25            2        50
Bills              BUF     10.938    265.131                     0            0         0            0         0


Team Salary:  49700  Team PPG:  141.114 Team Targets:  66
Name              Team       PPG    $/Point    Touches/game(2015)    Tinside20    %%Team    Tinside10    %%Team
----------------  ------  ------  ---------  --------------------  -----------  --------  -----------  --------
Drew Brees        NO      21.749    358.637                     1            0         0            0         0
Rashad Jennings   NYG     12.955    385.951                    14            4        26            3        60
Andre Ellington   ARI     15.208    401.105                    15            3        27            3        75
Michael Crabtree  OAK     10.138    404.419                     8            1        16            0         0
Golden Tate       DET     17.353    363.05                      8            0         0            0         0
Odell Beckham     NYG     26.417    333.119                     8            2        13            0         0
Larry Donnell     NYG      9.831    315.329                     4            1         6            0         0
Roddy White       ATL     15.65     370.607                     8            1        10            1        20
Eagles            PHI     11.813    228.562                     0            0         0            0         0


